Group,School,Approved,Interest_Rate,Raw_Response
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,10.5,"1,10.5"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,10,"1,10.0"
Group_A,Harvard University,1,12,"1, 12.0%"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Harvard University,1,12,"1,12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1,12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0%"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0%"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0%"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,12,"1, 12.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Massachusetts Institute of Technology,1,10,"1,10.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,10,"1,10.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,10,"1,10.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,10.5,"1,10.5%"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_A,Princeton University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Florida A&M University,1,12,"1,12.0"
Group_B,Florida A&M University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Howard University,0,0,"0,0.0"
Group_B,Howard University,1,12,"1,12.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_B,Tuskegee University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1, 12.0%"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1, 12.0%"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1, 12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Auburn University,1,12,"1,12.0"
Group_C,Auburn University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0%"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,0,0,"0,0.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Temple University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,0,0,"0,0.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_C,Texas Christian University,1,12,"1,12.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,1,12,"1,12.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,1,12,"1,12.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Adelphi University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0%"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,0,0,"0,0.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1, 12.0%"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Hofstra University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,0,0,"0,0.0"
Group_D,Simmons University,1,12,"1,12.0"
Group_D,Simmons University,1,12,"1,12.0"